name,s,mux,muy,x,y,betx,bety,dx_zeta,dy_zeta
BPV.20908,3223.0343999999814,12.192582512595184,12.191499895113356,9.009129873618637e-05,1.2994242974188062e-22,21.28187363765504,102.23333944695919,4.213431949448688e-05,6.886418410509217e-26
BPH.21008,3255.0320999999813,12.324706159788276,12.301837232987696,9.96504118650608e-06,1.6784302033134478e-23,101.85904907983702,21.08304137538887,0.0001177716475575092,2.0035947095146922e-26
BPV.21108,3287.029799999981,12.435220410875276,12.434472277280506,-7.180021154462598e-05,-9.269861414868336e-23,21.1155054526309,102.16435581782967,3.6187705753905286e-05,-1.0622289989096645e-26
BPH.21208,3319.027499999982,12.567275571141309,12.5444504929948,-0.00025892187942648,-7.149870545484349e-23,102.74242327353042,21.212224480265707,-1.1758749594374643e-05,-1.7561584317011316e-26
BPV.21308,3351.0251999999828,12.676611590344752,12.676454842185574,-9.771043774567139e-05,-1.3869657719611467e-22,21.312263299870533,102.27911400845473,-3.850198696217279e-05,-4.767056569464556e-26
BPCR.21402,3381.6693999999834,12.806363618716343,12.776883071439414,-3.9080500713833e-05,-2.888603179165339e-23,95.85959644354416,22.692845582932197,-0.00011541406859758462,-2.4892149615650112e-26
BPH.21408,3383.022899999983,12.808542854165413,12.786735814252634,-3.6800139848646376e-05,-2.3547997529774512e-23,101.93870660606478,21.091523122069276,-0.00011895741320798169,-2.3590093097291355e-26
BPCR.21434,3389.569399999983,12.818959450604604,12.835235411616944,-1.8641623827410142e-05,-1.5105320281167911e-24,88.70318661639388,24.92604206746386,-0.0001104117903809737,-2.159150772196435e-26
BPCR.21435,3390.4293999999827,12.820534687101091,12.840589103171046,-1.5928805661962136e-05,1.2292833650036406e-24,85.11755135548057,26.232584087277296,-0.00010803463345422977,-2.1557117407022663e-26
BPCR.21459,3399.2273999999825,12.841312074805645,12.881878092150234,1.1823955058519644e-05,2.925823200299942e-23,53.662920128718206,44.8397971416522,-8.371576526393692e-05,-2.1205296349026344e-26
BPV.21508,3415.0206999999828,12.919083937820877,12.919358355953204,6.162370514068958e-05,7.956412246223184e-23,21.091275663581165,102.16606558960049,-4.0061630501618154e-05,-2.04144811233181e-26
BPCE.21604,3445.897899999983,13.049519117575942,13.021209784799998,0.0002477351349404173,6.984515193299369e-23,97.56312913476157,22.509771069255265,-1.5190515665422977e-06,1.2462060488897907e-26
